timestamp,epoch,in_sample,accuracy,loss
2020-12-22 17:26:43.725292,0,in_sample,0.59,0.2409
2020-12-22 17:26:43.854293,0,in_sample,0.67,0.2429
2020-12-22 17:26:43.986292,0,in_sample,0.64,0.2338
2020-12-22 17:26:44.120293,0,in_sample,0.68,0.2241
2020-12-22 17:26:44.243293,0,in_sample,0.57,0.2511
2020-12-22 17:26:44.386294,0,in_sample,0.61,0.24
2020-12-22 17:26:44.523293,0,in_sample,0.62,0.2501
2020-12-22 17:26:44.661292,0,in_sample,0.68,0.2222
2020-12-22 17:26:44.790318,0,in_sample,0.54,0.2443
2020-12-22 17:26:44.917320,0,in_sample,0.62,0.2337
2020-12-22 17:26:45.053319,0,in_sample,0.54,0.2472
2020-12-22 17:26:45.196356,0,in_sample,0.62,0.2308
2020-12-22 17:26:45.332357,0,in_sample,0.48,0.2501
2020-12-22 17:26:45.452356,0,in_sample,0.6,0.2362
2020-12-22 17:26:45.588356,0,in_sample,0.62,0.2389
2020-12-22 17:26:45.717358,0,in_sample,0.64,0.232
2020-12-22 17:26:45.848356,0,in_sample,0.58,0.2352
2020-12-22 17:26:45.991357,0,in_sample,0.62,0.2426
2020-12-22 17:26:46.122359,0,in_sample,0.65,0.2148
2020-12-22 17:26:46.255898,0,in_sample,0.63,0.2283
2020-12-22 17:26:46.397792,0,in_sample,0.65,0.2304
2020-12-22 17:26:46.529793,0,in_sample,0.57,0.2443
2020-12-22 17:26:46.667309,0,in_sample,0.69,0.2192
2020-12-22 17:26:46.800310,0,in_sample,0.64,0.2264
2020-12-22 17:26:46.931310,0,in_sample,0.57,0.2489
2020-12-22 17:26:47.078310,0,in_sample,0.61,0.2348
2020-12-22 17:26:47.219309,0,in_sample,0.59,0.242
2020-12-22 17:26:47.355309,0,in_sample,0.63,0.2308
2020-12-22 17:26:47.500356,0,in_sample,0.6,0.2344
2020-12-22 17:26:47.634356,0,in_sample,0.63,0.2376
2020-12-22 17:26:47.769355,0,in_sample,0.58,0.2542
2020-12-22 17:26:47.902354,0,in_sample,0.53,0.2539
2020-12-22 17:26:48.043354,0,in_sample,0.61,0.2338
2020-12-22 17:26:48.176354,0,in_sample,0.7,0.2204
2020-12-22 17:26:48.306354,0,in_sample,0.58,0.2438
2020-12-22 17:26:48.441354,0,in_sample,0.58,0.2433
2020-12-22 17:26:48.577356,0,in_sample,0.58,0.2273
2020-12-22 17:26:48.713354,0,in_sample,0.56,0.2337
2020-12-22 17:26:48.849354,0,in_sample,0.49,0.2464
2020-12-22 17:26:48.986356,0,in_sample,0.63,0.2268
2020-12-22 17:26:49.123354,0,in_sample,0.58,0.2372
2020-12-22 17:26:49.263355,0,in_sample,0.61,0.2192
2020-12-22 17:26:49.410355,0,in_sample,0.53,0.2541
2020-12-22 17:26:49.549354,0,in_sample,0.65,0.2278
2020-12-22 17:26:49.696386,0,in_sample,0.6,0.2518
2020-12-22 17:26:49.831386,0,in_sample,0.43,0.2878
2020-12-22 17:26:49.970388,0,in_sample,0.59,0.2351
2020-12-22 17:26:50.109389,0,in_sample,0.61,0.2384
2020-12-22 17:26:50.254418,0,in_sample,0.58,0.2445
2020-12-22 17:26:50.394386,0,in_sample,0.62,0.2309
2020-12-22 17:26:50.525387,0,in_sample,0.51,0.2536
2020-12-22 17:26:50.659387,0,in_sample,0.55,0.2352
2020-12-22 17:26:50.792386,0,in_sample,0.62,0.237
2020-12-22 17:26:50.937392,0,in_sample,0.63,0.2333
2020-12-22 17:26:51.066387,0,in_sample,0.53,0.2445
2020-12-22 17:26:51.209397,0,in_sample,0.51,0.2447
2020-12-22 17:26:51.345426,0,in_sample,0.6,0.2388
2020-12-22 17:26:51.486427,0,in_sample,0.59,0.239
2020-12-22 17:26:51.623458,0,in_sample,0.54,0.2425
2020-12-22 17:26:51.758457,0,in_sample,0.6,0.2389
2020-12-22 17:26:51.892457,0,in_sample,0.52,0.2436
2020-12-22 17:26:52.025458,0,in_sample,0.58,0.2434
2020-12-22 17:26:52.151458,0,in_sample,0.61,0.2418
2020-12-22 17:26:52.282457,0,in_sample,0.61,0.2364
2020-12-22 17:26:52.417458,0,in_sample,0.68,0.2312
2020-12-22 17:26:52.551457,0,in_sample,0.62,0.233
2020-12-22 17:26:52.681471,0,in_sample,0.6,0.2287
2020-12-22 17:26:52.819457,0,in_sample,0.58,0.2318
2020-12-22 17:26:52.950969,0,in_sample,0.62,0.2279
2020-12-22 17:26:53.083970,0,in_sample,0.69,0.2188
2020-12-22 17:26:53.220967,0,in_sample,0.66,0.2213
2020-12-22 17:26:53.354967,0,in_sample,0.61,0.2403
2020-12-22 17:26:53.489967,0,in_sample,0.51,0.2529
2020-12-22 17:26:53.633970,0,in_sample,0.66,0.2297
2020-12-22 17:26:53.766971,0,in_sample,0.65,0.2276
2020-12-22 17:26:53.891968,0,in_sample,0.62,0.2214
2020-12-22 17:26:54.020967,0,in_sample,0.61,0.2341
2020-12-22 17:26:54.148967,0,in_sample,0.63,0.2256
2020-12-22 17:26:54.272968,0,in_sample,0.61,0.2385
2020-12-22 17:26:54.412483,0,in_sample,0.66,0.2273
2020-12-22 17:26:54.550483,0,in_sample,0.54,0.2494
2020-12-22 17:26:54.681483,0,in_sample,0.56,0.2358
2020-12-22 17:26:54.821482,0,in_sample,0.65,0.2166
2020-12-22 17:26:54.956483,0,in_sample,0.54,0.2396
2020-12-22 17:26:55.088484,0,in_sample,0.5,0.2593
2020-12-22 17:26:55.208512,0,in_sample,0.6,0.214
2020-12-22 17:26:55.346512,0,in_sample,0.59,0.2262
2020-12-22 17:26:55.480513,0,in_sample,0.69,0.2168
2020-12-22 17:26:55.618087,0,in_sample,0.66,0.2333
2020-12-22 17:26:55.738088,0,in_sample,0.62,0.2303
2020-12-22 17:26:55.875088,0,in_sample,0.61,0.2316
2020-12-22 17:26:56.012087,0,in_sample,0.67,0.2212
2020-12-22 17:26:56.127088,0,in_sample,0.51,0.2552
2020-12-22 17:26:56.265088,0,in_sample,0.68,0.2031
2020-12-22 17:26:56.404088,0,in_sample,0.55,0.2306
2020-12-22 17:26:56.531086,0,in_sample,0.61,0.2288
2020-12-22 17:26:56.666086,0,in_sample,0.65,0.2143
2020-12-22 17:26:56.792085,0,in_sample,0.6,0.232
2020-12-22 17:26:56.929086,0,in_sample,0.63,0.2416
2020-12-22 17:26:57.059243,0,in_sample,0.65,0.236
2020-12-22 17:26:57.196242,0,in_sample,0.6,0.2356
2020-12-22 17:26:57.328240,0,in_sample,0.62,0.2381
2020-12-22 17:26:57.465241,0,in_sample,0.63,0.2229
2020-12-22 17:26:57.597267,0,in_sample,0.57,0.2505
2020-12-22 17:26:57.737243,0,in_sample,0.57,0.256
2020-12-22 17:26:57.861240,0,in_sample,0.62,0.2351
2020-12-22 17:26:57.987243,0,in_sample,0.62,0.2236
2020-12-22 17:26:58.131240,0,in_sample,0.69,0.2174
2020-12-22 17:26:58.259240,0,in_sample,0.61,0.2496
2020-12-22 17:26:58.399241,0,in_sample,0.57,0.2541
2020-12-22 17:26:58.534271,0,in_sample,0.48,0.2658
2020-12-22 17:26:58.667240,0,in_sample,0.7,0.2121
2020-12-22 17:26:58.790268,0,in_sample,0.57,0.2455
2020-12-22 17:26:58.914240,0,in_sample,0.61,0.235
2020-12-22 17:26:59.058265,0,in_sample,0.63,0.2203
2020-12-22 17:26:59.196265,0,in_sample,0.57,0.2283
2020-12-22 17:26:59.343265,0,in_sample,0.57,0.2514
2020-12-22 17:26:59.482265,0,in_sample,0.53,0.2496
2020-12-22 17:26:59.627264,0,in_sample,0.53,0.2416
2020-12-22 17:26:59.746267,0,in_sample,0.54,0.2492
2020-12-22 17:26:59.859811,0,in_sample,0.59,0.2428
2020-12-22 17:26:59.992810,0,in_sample,0.58,0.2407
2020-12-22 17:27:00.126811,0,in_sample,0.59,0.2435
2020-12-22 17:27:00.258811,0,in_sample,0.67,0.2216
2020-12-22 17:27:00.397812,0,in_sample,0.7,0.2213
2020-12-22 17:27:00.526848,0,in_sample,0.68,0.2209
2020-12-22 17:27:00.657390,0,in_sample,0.61,0.2336
2020-12-22 17:27:00.790388,0,in_sample,0.66,0.2214
2020-12-22 17:27:00.919540,0,in_sample,0.66,0.2247
2020-12-22 17:27:01.058508,0,in_sample,0.58,0.2449
2020-12-22 17:27:01.192018,0,in_sample,0.75,0.2139
2020-12-22 17:27:01.328018,0,in_sample,0.71,0.2213
2020-12-22 17:27:01.465020,0,in_sample,0.75,0.2043
2020-12-22 17:27:01.603018,0,in_sample,0.65,0.219
2020-12-22 17:27:01.738017,0,in_sample,0.64,0.2248
2020-12-22 17:27:01.873017,0,in_sample,0.68,0.214
2020-12-22 17:27:02.002018,0,in_sample,0.55,0.2503
2020-12-22 17:27:02.053017,0,in_sample,0.7,0.1922
2020-12-22 17:27:05.281589,1,in_sample,0.59,0.2353
2020-12-22 17:27:05.438590,1,in_sample,0.58,0.2505
2020-12-22 17:27:05.592590,1,in_sample,0.59,0.2349
2020-12-22 17:27:05.741589,1,in_sample,0.6,0.2363
2020-12-22 17:27:05.880592,1,in_sample,0.7,0.2063
2020-12-22 17:27:06.018590,1,in_sample,0.61,0.2356
2020-12-22 17:27:06.147590,1,in_sample,0.6,0.2303
2020-12-22 17:27:06.284590,1,in_sample,0.65,0.2172
2020-12-22 17:27:06.422589,1,in_sample,0.66,0.2139
2020-12-22 17:27:06.569589,1,in_sample,0.58,0.225
2020-12-22 17:27:06.701589,1,in_sample,0.65,0.2245
2020-12-22 17:27:06.806589,1,in_sample,0.61,0.2246
2020-12-22 17:27:06.947590,1,in_sample,0.65,0.2235
2020-12-22 17:27:07.083589,1,in_sample,0.59,0.2383
2020-12-22 17:27:07.210185,1,in_sample,0.67,0.2154
2020-12-22 17:27:07.354208,1,in_sample,0.63,0.233
2020-12-22 17:27:07.490207,1,in_sample,0.59,0.2417
2020-12-22 17:27:07.607727,1,in_sample,0.67,0.2153
2020-12-22 17:27:07.744726,1,in_sample,0.57,0.2434
2020-12-22 17:27:07.885725,1,in_sample,0.64,0.2093
2020-12-22 17:27:08.021725,1,in_sample,0.59,0.2256
2020-12-22 17:27:08.136724,1,in_sample,0.55,0.2441
2020-12-22 17:27:08.277725,1,in_sample,0.64,0.2284
2020-12-22 17:27:08.397728,1,in_sample,0.55,0.2388
2020-12-22 17:27:08.535724,1,in_sample,0.63,0.2446
2020-12-22 17:27:08.655724,1,in_sample,0.65,0.2171
2020-12-22 17:27:08.780724,1,in_sample,0.59,0.2335
2020-12-22 17:27:08.899724,1,in_sample,0.64,0.2236
2020-12-22 17:27:09.025726,1,in_sample,0.7,0.2104
2020-12-22 17:27:09.151726,1,in_sample,0.56,0.2264
2020-12-22 17:27:09.276727,1,in_sample,0.6,0.2346
2020-12-22 17:27:09.409795,1,in_sample,0.72,0.2064
2020-12-22 17:27:09.546794,1,in_sample,0.62,0.2159
2020-12-22 17:27:09.683794,1,in_sample,0.68,0.2058
2020-12-22 17:27:09.828793,1,in_sample,0.69,0.2061
2020-12-22 17:27:09.955794,1,in_sample,0.58,0.2262
2020-12-22 17:27:10.084796,1,in_sample,0.6,0.2193
2020-12-22 17:27:10.216304,1,in_sample,0.74,0.18
2020-12-22 17:27:10.348306,1,in_sample,0.56,0.2544
2020-12-22 17:27:10.478305,1,in_sample,0.63,0.2283
2020-12-22 17:27:10.607305,1,in_sample,0.57,0.2315
2020-12-22 17:27:10.731387,1,in_sample,0.55,0.2522
2020-12-22 17:27:10.854361,1,in_sample,0.67,0.2141
2020-12-22 17:27:10.979359,1,in_sample,0.71,0.1959
2020-12-22 17:27:11.120360,1,in_sample,0.68,0.2059
2020-12-22 17:27:11.258361,1,in_sample,0.62,0.2207
2020-12-22 17:27:11.390360,1,in_sample,0.65,0.2166
2020-12-22 17:27:11.512359,1,in_sample,0.67,0.2148
2020-12-22 17:27:11.647381,1,in_sample,0.62,0.223
2020-12-22 17:27:11.786380,1,in_sample,0.59,0.2305
2020-12-22 17:27:11.912381,1,in_sample,0.63,0.226
2020-12-22 17:27:12.039897,1,in_sample,0.67,0.2128
2020-12-22 17:27:12.163888,1,in_sample,0.62,0.2149
2020-12-22 17:27:12.302888,1,in_sample,0.69,0.2231
2020-12-22 17:27:12.435888,1,in_sample,0.6,0.2339
2020-12-22 17:27:12.562888,1,in_sample,0.71,0.2028
2020-12-22 17:27:12.670891,1,in_sample,0.66,0.2279
2020-12-22 17:27:12.800891,1,in_sample,0.64,0.2216
